Date,Soil temperature at 0.05 depth in mts,Soil temperature at 0.1 depth in mts,Soil temperature at 0.20cm depth in mts,Soil temperature at 0.50cm depth in mts,Soil temperature at 1.00cm depth in mts,max air temperature at 1.5mts,min air temperature at 1.5mts,"max relative humidity
 at 1.5mts","min Relative humidity
 at 1.5mts",Pitche Evaporation,Pan Evaporation,Wind Speed km/h at day,Wind Speed km/h at night,Wind Speed Avarage(m/s),sunshine hour,Rainfall
23-Jun-12,32.0,29.2, -   , -   , -   ,32.9,20.2, -   , -   ,3.8,5.52,1.42,1.48,1.45,8:00,1.4
24-Jun-12,30.8,28.7, -   , -   , -   ,31.7,19.8, -   , -   ,2.9,1.43,1.78,0.56,1.17,8:30,3.0
25-Jun-12,33.32,29.60, -   , -   , -   ,34,20.2, -   , -   ,3.60,6.16,0.82,0.62,0.72,9:00,0.0
26-Jun-12,34.36,30.16, -   , -   , -   ,34.6,20.2, -   , -   ,3.50,5.04,1.36,0.63,1.00,8:30,0.0
27-Jun-12,27.84,28.52, -   , -   , -   ,27.2,22.6, -   , -   ,0.80,0.96,1.07,0. 35,1.07,1:00,31.5
28-Jun-12,28.68,27.52, -   , -   , -   ,31.0,20.4, -   , -   ,2.20,4.01,1.20,0.50,0.85,5:00,0.0
29-Jun-12,30.36,28.44, -   , -   , -   ,34.2,22.0, -   , -   ,2.80,4.60,0.91,0.52,0.72,5:20,0.0
30-Jun-12,28.52,28.24, -   , -   , -   ,31.2,21.6, -   , -   ,1.90,2.83,1.40,0.42,0.91,2:00,1.5
01-Jul-12,27.00,27.08, -   , -   , -   ,30.0,21.2, -   , -   ,1.20,2.30,1.30,0.49,0.9,2:40,2.6
02-Jul-12,27.52,26.84, -   , -   , -   ,29.8,21.0, -   , -   ,1.60,1.93,0.81,0.67,0.7,3:20,6.4
03-Jul-12,29.00,27.28, -   , -   , -   ,31.4,21.2, -   , -   ,2.60,4.84,1.30,0.50,0.9,7:00,0.00
04-Jul-12,31.04,28.40, -   , -   , -   ,33.0,20.6, -   , -   ,2.90,4.04,0.66,1.34,1.0,7:50,1.9
05-Jul-12,30.80,28.96, -   , -   , -   ,32.4,20.8,96.00,49.00,3.00,4.29,0.96,0.88,0.9,7:00,36.5
06-Jul-12,25.24,25.80, -   , -   , -   ,28.2,20.8,96.00,77.00,0.40,1.16,1.67,0.38,1.0,0:30,30.0
07-Jul-12,28.32,26.04, -   , -   , -   ,30.6,20.0,88.00,52.00,2.50,2.05,0.82,0.42,0.6,5:50,1.4
08-Jul-12,30.80,27.88, -   , -   , -   ,34.2,20.0,96.00,55.00,3.90,5.25,1.20,0.61,0.9,8:40,0.00
09-Jul-12,30.56,29.12, -   , -   , -   ,33.4,22.0,96.00,51.00,2.20,1.91,0.60,0.62,0.6,3:45,32.8
10-Jul-12,28.00,27.20, -   , -   , -   ,30.4,18.8,96.00,66.00,0.50,2.17,1.20,0.43,0.8,4:35,0.0
11-Jul-12,30.00,28.00, -   , -   , -   ,30.4,19.6,96.00,58.00,2.80,4.83,0.90,0.45,0.7,9:45,0.0
12-Jul-12,31.40,29.28, -   , -   , -   ,31.2,23.0,96.00,55.00,3.10,3.42,1.06,0.51,0.8,7:50,13.0
13-Jul-12,29.84,28.52, -   , -   , -   ,30.8,21.6,96.00,66.00,2.50,3.95,0.94,0.58,0.8,6:30,1.6
14-Jul-12,28.68,28.44, -   , -   , -   ,31.2,21.8,92.00,65.00,2.20,2.61,1.09,0.41,0.8,2:20,Trace
15-Jul-12,31.84,29.12, -   , -   , -   ,32.0,21.2,96.00,55.00,3.30,4.54,0.70,0.46,0.6,6:30,0.0
16-Jul-12,30.92,29.28, -   , -   , -   ,30.8,20.2,96,65,2.6,3.86,0.9,0.60,0.8,5:15,0
17-Jul-12,27.64,28.56, -   , -   , -   ,29.2,20.4,96,78,1.3,1.74,1.3,0.80,1.1,0:15,5.3
18-Jul-12,27.56,27.24, -   , -   , -   ,28.8,20.6,96,70,2.4,3.39,1.25,1.09,1.2,1:10,6.3
19-Jul-12,29.84,27.88, -   , -   , -   ,30.6,20.4,96,57,2.7,3.71,0.9,0.28,0.6,8:35,0
20-Jul-12,32.4,29.28, -   , -   , -   ,32.6,21,84,54,3.3,4,0.78,0.09,0.4,8:10,27
21-Jul-12,25.08,26.84, -   , -   , -   ,28.2,21.2,96,84,1,0.00,1.06,0.65,0.9,0:00,5.8
22-Jul-12,29.24,26.96, -   , -   , -   ,31.8,17.2,86,47,3.5,3.13,0.92,0.52,0.7,10:10,0
23-Jul-12,28.56,27.76, -   , -   , -   ,31,20.6,96,66,2.2,4.39,1.1,0.83,1.0,2:15,0
24-Jul-12,31.64,28.80, -   , -   , -   ,31.8,20.6,96,55,3.2,4.68,0.85,0.64,0.7,8:30,12.5
25-Jul-12,26.00,27.44, -   , -   , -   ,31,20.2,92,77,0.8,1.27,0.9,0.81,0.9,2:30,15.0
26-Jul-12,27.24,26.60, -   , -   , -   ,28,20,96,71,1.4,3.46,0.77,0.36,0.6,3:15,0
27-Jul-12,30.64,27.80, -   , -   , -   ,32,18.8,87,48,3.3,4.55,0.92,0.4,0.7,9:20,0
28-Jul-12,29.16,28.28, -   , -   , -   ,31,21.2,93,61,2.3,2.12,1.2,0.46,0.8,0:35,trase
29-Jul-12,31.28,28.80, -   , -   , -   ,30.8,21,96,64,2.6,4.41,0.85,0.4,0.6,2:00,0
30-Jul-12,32.56,29.68, -   , -   , -   ,32.2,21.0,96,53,3.1,6.06,0.94,0.47,0.7,9:00,0.0
